Hostname                                  Interface     Status   Description                             Optics              Serial
BORM-IPB-P-RT-01_a.txt                    |xe-8/0/1      |Up       |SNSU-IPB_P-RT-03-xe-0/0/0               |SFP+-10G-LR         |AD1825501VK
BORM-IPB-P-RT-01_a.txt                    |xe-8/0/2      |Up       |BORM-IPB_PE-RT-04-Te0/2/0/0             |SFP+-10G-SR         |MTJ02CF
BORM-IPB-P-RT-01_a.txt                    |xe-8/0/3      |Up       |BORM-IPB_PE-RT-03-Te0/2/0/1             |SFP+-10G-SR         |MTJ0FEB
BORM-IPB-P-RT-01_a.txt                    |xe-8/1/0      |Up       |SNSU-IPB_P-RT-01-xe-0/2/2               |SFP+-10G-LR         |J5V2045162
BORM-IPB-P-RT-01_a.txt                    |xe-8/1/1      |Up       |SNSU-IPB_P-RT-03-xe-0/2/2               |SFP+-10G-LR         |AD18295000R
BORM-IPB-P-RT-01_a.txt                    |xe-8/1/2      |Up       |BORM-IPB_PE-RT-04-Te0/2/0/1             |SFP+-10G-SR         |AA171130DU7
BORM-IPB-P-RT-01_a.txt                    |xe-8/1/3      |Up       |BORM-IPB_PE-RT-03-Te0/2/0/2             |SFP+-10G-SR         |MTJ0AZW
BORM-IPB-P-RT-01_a.txt                    |xe-8/2/0      |Up       |SNSU-IPB_P-RT-02-xe-0/1/2               |SFP+-10G-LR         |AD1825500ZB
BORM-IPB-P-RT-01_a.txt                    |xe-8/2/1      |Up       |BORM-IPB_CORE-RT-01-10GE7/0/2           |SFP+-10G-LR         |HCM2006795
BORM-IPB-P-RT-01_a.txt                    |xe-8/2/2      |Up       |BORM-IPB_PE-RT-04-Te0/2/0/2             |SFP+-10G-SR         |AA171130B14
BORM-IPB-P-RT-01_a.txt                    |xe-8/2/3      |Up       |BORM-IPB_PE-RT-03-Te0/2/0/3             |SFP+-10G-SR         |MTG0LM9
BORM-IPB-P-RT-01_a.txt                    |xe-8/3/0      |Up       |SNSU-IPB_P-RT-02-xe-0/2/2               |SFP+-10G-LR         |AD1825501YF
BORM-IPB-P-RT-01_a.txt                    |xe-8/3/1      |Up       |BORM-IPB_CORE-RT-02-10GE7/0/2           |SFP+-10G-LR         |AV90NT2
BORM-IPB-P-RT-01_a.txt                    |xe-8/3/2      |Up       |BORM-IPB_PE-RT-04-Te0/2/0/3             |SFP+-10G-SR         |ANC0H33
BORM-IPB-P-RT-01_a.txt                    |xe-8/3/3      |Up       |SNSU-IPB_P-RT-01-xe-0/1/2               |SFP+-10G-LR         |AD18255023B
BORM-IPB-P-RT-01_a.txt                    |xe-9/0/0      |Down     |BORM-IPB_PE-RT-02-TE5/1/1               |SFP+-10G-SR         |AQ32FPX
BORM-IPB-P-RT-01_a.txt                    |xe-9/0/1      |Up       |SNSU-IPB_P-RT-01-xe-8/1/3_N000016822757 |SFP+-10G-LR         |AD1920504JT
BORM-IPB-P-RT-01_a.txt                    |xe-9/0/2      |Up       |SNSU-IPB_P-RT-02-xe-8/1/3_N000016822758 |SFP+-10G-LR         |AD19205034P
BORM-IPB-P-RT-01_a.txt                    |xe-9/0/3      |Up       |BORM-IPB_CORE-RT-01-10GE6/0/12          |SFP+-10G-LR         |H2P2004196
BORM-IPB-P-RT-01_a.txt                    |xe-9/1/0      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/4             |SFP+-10G-SR         |MVJ1JZ9
BORM-IPB-P-RT-01_a.txt                    |xe-9/1/1      |Up       |BORM-IPB_PE-RT-03-Te0/2/0/4             |SFP+-10G-SR         |MTJ06UW
BORM-IPB-P-RT-01_a.txt                    |xe-9/1/2      |Up       |BORM-IPB_PE-RT-04-Te0/2/0/4             |SFP+-10G-SR         |AA191730FGK
BORM-IPB-P-RT-01_a.txt                    |xe-9/1/3      |Up       |BORM-IPB_CORE-RT-01-10GE7/0/12          |SFP+-10G-LR         |AV90HZ5
BORM-IPB-P-RT-01_a.txt                    |xe-9/2/0      |Down     |BORM-IPB_PE-RT-01-TE6/1/1               |SFP+-10G-SR         |AA1748306NM
BORM-IPB-P-RT-01_a.txt                    |xe-9/2/1      |Up       |BORM-IPB_CORE-RT-01-10GEGE6/0/2         |SFP+-10G-SR         |AD1709312C2
BORM-IPB-P-RT-01_a.txt                    |xe-9/2/2      |Up       |BORM-IPB_CORE-RT-02-10GEGE6/0/2         |SFP+-10G-SR         |AD1709312BN
BORM-IPB-P-RT-01_a.txt                    |xe-9/2/3      |Up       |BORM-IPB_CORE-RT-02-10GE6/0/12          |SFP+-10G-LR         |APF22JP
BORM-IPB-P-RT-01_a.txt                    |xe-9/3/0      |Down     |BORM-IPB_PE-RT-02-TE6/1/1               |SFP+-10G-SR         |MTJ00WE
BORM-IPB-P-RT-01_a.txt                    |xe-9/3/1      |Up       |BORM-IPB_CORE-RT-01-10GE6/0/3           |SFP+-10G-LR         |J5V2047209
BORM-IPB-P-RT-01_a.txt                    |xe-9/3/2      |Up       |BORM-IPB_CORE-RT-02-10GE6/0/3           |SFP+-10G-LR         |J5V2046754
BORM-IPB-P-RT-01_a.txt                    |xe-9/3/3      |Up       |BORM-IPB_CORE-RT-02-10GE7/0/12          |SFP+-10G-LR         |AM50ZM3
BORM-IPB-P-RT-01_a.txt                    |xe-10/0/0     |Up       |SNSU-IPB_P-RT-04-xe-4/2/2_B11X03423     |XFP-10G-LR          |UKG03PE
BORM-IPB-P-RT-01_a.txt                    |xe-10/1/0     |Up       |SNSU-IPB_P-RT-04-xe-9/2/2_B24X05631     |XFP-10G-LR          |UW50291
BORM-IPB-P-RT-01_a.txt                    |xe-10/2/0     |Up       |BORM-IPB_PE-RT-03-Te-0/4/0/3            |XFP-10G-SR          |1043P-10082
BORM-IPB-P-RT-01_a.txt                    |xe-10/3/0     |Up       |BORM-IPB_PE-RT-04-Te-0/4/0/3            |XFP-10G-SR          |CB19BQ09G
BORM-IPB-P-RT-01_a.txt                    |xe-11/0/0     |Up       |                                        |XFP-10G-SR          |AD1144M00DZ
BORM-IPB-P-RT-01_a.txt                    |xe-11/1/0     |Up       |                                        |XFP-10G-SR          |AD1144M00EN
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/0     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/1     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/2     |Down     |SKT-ASBR-RT-02-GE2/0/2                  |SFP-SX              |PLG4AZG
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/3     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/4     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/5     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/6     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/7     |Down     |                                        |X                   |X
